X X X X X X X X X X X X X X X X X X X X X
X o o o o o o o o o X o o o o o o o o o X
X o X X X o X X X o X o X X X o X X X o X
X O X X X o X X X o X o X X X o X X X O X
X o X X X o X X X o X o X X X o X X X o X
X o o o o o o o o o o o o o o o o o o o X
X o X X X o X o X X X X X o X o X X X o X
X o X X X o X o X X X X X o X o X X X o X
X o o o o o X o o o X o o o X o o o o o X
X X X X X o X X X - X - X X X o X X X X X
- - - - X o X - - - C - - - X o X - - - -
X X X X X o X - X X - X X - X o X X X X X
- - - - - o - - X K S Y X - - o - - - - -
X X X X X o X - X X X X X - X o X X X X X
- - - - X o X - - - - - - - X o X - - - -
X X X X X o X X X - X - X X X o X X X X X
X o o o o o o o o o X o o o o o o o o o X
X o X X X o X X X o X o X X X o X X X o X
X O o o X o o o o o P o o o o o X o o O X
X X X o X o X o X X X X X o X o X o X X X
X X X o X o X o X X X X X o X o X o X X X
X o o o o o X o o o X o o o X o o o o o X
X o X X X X X X X o X o X X X X X X X o X
X o o o o o o o o o o o o o o o o o o o X
X X X X X X X X X X X X X X X X X X X X X
